Site Name,Cat_No,Trench,X coordinate,Y coordinate,Quantity,Activity category,act_cat,Material,Material detail original,Type,Sub-type,Description,Inventory number,Date,Period original,Period,Camp,Building,Gender ,Gender code,Height (cm),Length (cm),Rim diam. (cm),Base diam. (cm),Wall diam. (cm),Diam. (cm),Width (cm),Max. dim. (cm),Weight (g),Surface,Fragment section,Hardness,Fabric,Colour,Published illustration,Published references
Vetera,B0011,1187,-698,62.77539,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",l spiral preserved; bow with rounded section; pin and pin holder missing,34447,AD 60s,Neronian,Neronian,Claudian-Neronian,Y,male,Ma,1.5 preserved,4.7 preserved,,,,,,,,,,,,,Pl. 27,
Vetera,B0012,1194,-581.5,-245.71289,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Bow with rounded section; pin slightly damaged,34405,AD 60s,Neronian,Neronian,Claudian-Neronian,Z,male,Ma,2.3,5.2,,,,,0.9,,,,,,,,Pl. 27,
Vetera,B0013,1267,-867.375,-91.84961,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",l spiral preserved; bow with rounded section; foot with pin holder badly damaged; pin missing. ,34397,AD 60s,Neronian,Neronian,Claudian-Neronian,Z,male,Ma,c. 1.9 ,3.9 preserved,,,,,,,,,,,,,Pl. 27,
Vetera,B0014,1294,,,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Bow with rounded section; foot with pin holder missing; pin broken.,34408,AD 60s,Neronian,Neronian,Claudian-Neronian,1294,male,Ma,c. 1.7 ,3.7 preserved,,,,,1.1,,,,,,,,Pl. 27,
Vetera,B0015,1294,,,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.4, Almgren 16","1 spiral preserved; bow with rhomboid section, with punched decoraton on four sides; pin holder damaged; and pin missing.",22957,AD 60s,Neronian,Neronian,Claudian-Neronian,1294,female,Fe,2,5.2,,,,, 0.7 preserved,,,,,,,,Pl. 27,
Vetera,B0016,113,1906,111.27539,1,dress,D,Copper alloy,,Brooches,"Almgren 16; Riha 1.7 , 'Spiralfibel'",1 spiral still preserved; small bow with central spine; pin holder slightly damaged; pin missing.,20221b,AD 60s,Neronian,Neronian,Claudian-Neronian,east gateway,female,Fe,2.3,4.7,,,,,0.6 preserved,,,,,,,,Pl. 28,
Vetera,B0017,58,487.71924,2398.22705,1,dress,D,Copper alloy,,Brooches,"Riha  2, fragment",Remains of spiral construction with complete support plate above; foot and pin missing,19513,,,,,north gateway,male,Ma,c. 1.5 ,c. 3.6 preserved,,,,,,,,,,,,,Pl. 28,
Vetera,B0018,236,3066,2031.27539,1,dress,D,Copper alloy,,Brooches,"Riha  2, fragment",Beginnings of spiral; jointed bow with roandish section; foot with pin holder and pin missing,21595a,,,,,Fortline C,male,Ma,1.5 preserved,2.2 preserved,,,,,,,,,,,,,Pl. 28,
Vetera,B0019,1,-346.46875,1666.15527,1,dress,D,Copper alloy,,Brooches,"Riha  2, 'Hakenfibel'","6 spirals with support plate and beginnings of pin; bow of rectangular section, sharply 'kneed' near head; foot with pin holder missing.",18215,,,,,NW area,male,Ma,1.8,2.5 preserved,,,,,1.6,,,,,,,,Pl. 28,
Vetera,B0020,24,-1010.32544,1604.08838,1,dress,D,Copper alloy,,Brooches,"Riha  2, 'Hakenfibel'","6 spirals with support plate; bow of rectangular section sharply 'kneed' near head; foot with pin holder missing, pin end broken.",18915,,,,,Neronian Fortifications,male,Ma,2.3,4.4 preserved,,,,,1.7,,,,,,,,Pl. 28,
Vetera,B0021,333,1842.5166,-301.01562,1,dress,D,Copper alloy,,Brooches,"Riha  2, 'Hakenfibel'",6 spirals with support plate; bow of rectangular section sharply 'kneed' near head.,22666,,Claudian-Neronian,Clau_Nero,Claudian-Neronian,Neronian Fortifications,male,Ma,2.2,5.6,,,,,1.6,,,,,,,,Pl. 28,
Vetera,B0022,954,1104.75,-130.72461,1,dress,D,Copper alloy,,Brooches,"Riha  2, 'Hakenfibel'","2 spirals preservied with support plate; bow of rectangular section sharply 'kneed' near head; pin holder damaged, pin missing.",33083,,,,K,F,male,Ma,1.8,4.5,,,,,1.3 preserved,,,,,,,,Pl. 28,
Vetera,B0023,1501,-320.5,153.6084,1,dress,D,Copper alloy,,Brooches,"Riha 2.3., 'Augenfibel'",,28852,,Augustan-Neronian,Aug_Ner,,a,male,Ma,,,,,,,,,,,,,,,,
Vetera,B0024,115,,,1,dress,D,Copper alloy,,Brooches,"Riha 2.3.2, 'Augenfibel'","Headplate with drilled eyes; 3 spirals preserved, bow with band-shaped section with two longitudinal grooves to rounded bow joint, pin holder damaged; pin missing.",20296a,,Augustan-Neronian,Aug_Ner,,Plan 1 (I9) ,male,Ma,2.3,4.7,,,,,1.7,,,,,,,,Pl. 28,
Vetera,B0025,950,1184.75,130.52539,1,dress,D,Copper alloy,,Brooches,"Riha 2.3.2, 'Augenfibel'",Headplate with drilled eyes; bow wider band-shaped section; foot with pin holder badly damaged;pin missing.,33110,,Augustan-Neronian,Aug_Ner,,S,male,Ma,2,4.8,,,,,1.4,,,,,,,,Pl. 28,
Vetera,B0026,1003,960.99854,68.8584,1,dress,D,Copper alloy,,Brooches,"Riha 2.3.2, 'Augenfibel'","2 preserved spirals; faint remains of stamped eyes with support plate above; band-shaped bow with central spine and bow joint; pin holder damaged, pin missing.",33527,,Augustan-Neronian,Aug_Ner,,P,male,Ma,2.3,6.1,,,,,1.4 preserved,,,,,,,,Pl. 28,
Vetera,B0027,1367,-541.875,137.40039,1,dress,D,Copper alloy,,Brooches,"Riha 2.3.2, 'Augenfibel'",3 spirals preserved; headplate with stamped eyes; bow of band-shaped section with bow joint; pin holder badly damaged; pin missing,3411,,Augustan-Neronian,Aug_Ner,,Y,male,Ma,2.1,5.4,,,,,2 preserved,,,,,,,,Pl. 28,
Vetera,B0028,1251,,,1,dress,D,Copper alloy,,Brooches,"Riha 2.5.2, 'Spiralbügelfibel'","3 spirals preserved with support plate above; bow of band-shaped section with channel; wide pin holder at end of bow, perforated, damaged, with end knob moved; pin missing, ",34410,,Neronian?,NeronZ,Neronian?,Z,male,Ma,2,5.3,,,,,1.6 preserved,,,,,,,,Pl. 28,
Vetera,B0029,155,2394.00098,-918.7373,1,dress,D,Copper alloy,,Brooches,"Riha 2.5.1 , 'Spiralbügelfibel'",3 preserved spirals with support plate above; bow of D-shaped section with central spine to a rounded bow joint; pin holder damaged; pin and end knob of foot missing.,21156,,,,,Fortline G,male,Ma,2.2,4.2 preserved,,,,,1.1,,,,,,,,Pl. 29,
Vetera,B0030,190,1950.84521,3.99951,1,dress,D,Copper alloy,,Brooches,"Riha 2.5.1 , 'Spiralbügelfibel'",4 spirals with support plate; bow of rounded section with slight bow joint and longitudinal groove; foot with pin holder and pin missing. ,21179b,,Augustan,Augustan,,Fortline C,male,Ma,2.2,3.4 preserved,,,,,0.9,,,,,,,,Pl. 29,
Vetera,B0031,477,33.20483,92.54932,1,dress,D,Copper alloy,,Brooches,"Riha 2.5.1 , 'Spiralbügelfibel'",3 preserved spirals with support plate; bow of rounded section with channel; pin holder damaged; pin missing; traces of burning. ,25102,,,,,H,male,Ma,2.3,5,,,,,2,,,,,,,,Pl. 29,
Vetera,B0032,234,3143,1245.27539,1,dress,D,Copper alloy,,Brooches,"Riha 2.6 , 'Knickfibel'","7 spirals preserved with support plate; bow with rounded section and bow joint, foot of pin holder and pin missing.",21634f,,,,K [?],Fortline C,male,Ma,2.3,3.6 preserved,,,,,1.7,,,,,,,,Pl. 29,
Vetera,B0033,868,769.5,357.94189,1,dress,D,Copper alloy,,Brooches,"Riha 2.6 , 'Knickfibel'",4 spirals preserved with support plate; pin and pin holder missing.,32817,,,,,P,male,Ma,2.3,5.1,,,,,1.8,,,,,,,,Pl. 29,
Vetera,B0034,1512,,,1,dress,D,Copper alloy,,Brooches,"Riha 2.6 , 'Knickfibel'","3 spirals preserved; sharp bow joint in the upper part of the head; pin holder damaged, pin missing.",34119,,,,,1512,male,Ma,2.6,6.8,,,,, 1.8 preserved,,,,,,,,Pl. 29,
Vetera,B0035,1,-346.46875,1666.15527,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",3 spirals preserved; bow of flat D-shaped section with slight bow joint;  pion holder damaged; pin broken.,18195,,,,,NW area,male,Ma,1.7,4.2,,,,,1.3 preserved,,,,,,,,Pl. 29,
Vetera,B0036,278,529.0835,-93.97461,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",3 spirals preserved; bow with band-shaped section with slight bow joint; pin holder damaged; pin missing.,22536f,,,,Neronian,central market area (C),male,Ma,1.7,4.1,,,,,1.6 preserved,,,,,,,,Pl. 29,
Vetera,B0037,390,305.66675,724.94434,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",6 spirals with support plate; bow of small section with central spine and slilght bow joint. Foot with pin holder badly damage; pin missing. ,24058,,,,,G,male,Ma,2,4,,,,,1.6,,,,,,,,Pl. 29,
Vetera,B0038,599,73.5,789.27539,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",l spiral preserved; bow with decorated central rib and slight bow joint; pin and pin holder missing.,31652,,,,,M,male,Ma,1.7,3.8,,,,,1.2 preserved,,,,,,,,Pl. 29,
Vetera,B0039,954,1104.75,-130.72461,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",2 spirals preserved with support plate; bow with somewhat D-shaped section with small bow joint; pin and pin holder missing.,33082,,,,K,F,male,Ma,,,,,,,,,,,,,,,Pl. 29,
Vetera,B0040,1090,1640.75,-23.72461,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'",6 spirals with support plate; bow with D-shaped section and decorated central groove to the bow joint; pin holder damaged; pin broken. ,33928,,,,,via principalis east,male,Ma,,,,,,,,,,,,,,,Pl. 29,
Vetera,B0041,1198,-613.5,-180.47461,1,dress,D,Copper alloy,,Brooches,"Riha 2.7, 'Knickfibel'","2 spirals preserved; bow of flat section, bow joint not discernible; pin holder badly damaged; pin missing.",34404,,,,,Z,male,Ma,c. 1.5  ,4.1 preserved,,,,, 0.7 preserved,,,,,,,,Pl. 30,
Vetera,B0042,37,-601.3916,2851.79932,1,dress,D,Copper alloy,,Brooches,"Riha 2.8, 'Dolchfibel'","Spiral construction with pin missing; beginning of support plate and hook preserved; bow of rectangular section, with sharp 'knee' in upper part of head and slight bow joint below; pin missing.",19021,,Neronian?,NeronZ,Neronian?,Fortline A-Neronian Fortifications,male,Ma,1.6, 5 preserved,,,,, 0.9 preserved,,,,,,,,Pl. 30,
Vetera,B0043,618,98.25,828.02539,1,dress,D,Copper alloy,,Brooches,"Riha 2.8, 'Dolchfibel'","Spiral construction damaged; full head plate; bow of rounded section, badly corroded, sharp 'knee' in upper part of head with discernible bow joint below; pin and pin holder missing.",31687,,Neronian?,NeronZ,Neronian?,M,male,Ma,2.1,5.4,,,,,1.2 preserved,,,,,,,,Pl. 30,
Vetera,B0044,1121,1775,86.27539,1,dress,D,Copper alloy,,Brooches,Riha 3,"10 spirals preserved, above a wide trumpet head; bow spine and bow and foot discs furnished with silver wire; pin holder damaged; pin missing.",33980,60s - 1st half 2nd cent. AD,Claudian-Trajanic,Clau_Traj,Neronian,V-W,male?/female?,ZMa_Fe,c. 1.4  ,2.8,,,,,1.8,,,,,,,,Pl. 30,
Vetera,B0045,531,-255,746.02539,1,dress,D,Copper alloy,,Brooches,"Riha 4, 'Spiralhülsenfibel (Kragen)'","Bow of wide, band-shaped section; foot with nail broken.",30963,mid 1st cent AD,Late Latène/Augustan ,LLat_Aug,,J,female,Fe,,3.7 preserved,,,,,1.2 preserved,,,,,,,,Pl. 30,
Vetera,B0046,1204.1,-994.4367,-78.01349,1,dress,D,Copper alloy,,Brooches,"Riha 4, 'Spiralhülsenfibel' (Langton-Down)",7 spirals preserved; wide band-shaped bow plate with three articulations; foot with pin holder and pin missing.,34412,,,,,Z,female?,ZFe,c. 1,4.6 preserved,,,,,2.9 preserved,,,,,,,,Pl. 30,
Vetera,B0047,1267,-867.375,-91.84961,1,dress,D,Copper alloy,,Brooches,"Riha 4, 'Spiralhülsenfibel'",,34425,,,,,Z,male,Ma,,c. 5,,,,,2.2 preserved,,,,,,,,Pl. 30,
Vetera,B0048,1109,1676.25,-113.97461,1,dress,D,Copper alloy,,Brooches,"Riha 4.2, 'Hülsenspiralfibel'",Bow of triangular section with central spine; remains of perforated pin holder; pin missing.,33723,,Tiberian-Neronian,Tib_Nero,,T,male,Ma,c. 1.4  ,3.4 preserved,,,,,2 preserved,,,,,,,,Pl. 30,
Vetera,B0049,375,360.66675,243.60791,1,dress,D,Copper alloy,,Brooches,"Riha 4.4.1, Langton-Down","Upper part of an arched, longitudinally grooved, bow with band-shaped section; framed and perforated pin holder, damaged; pin missing.",23513f,,Augustan,Augustan,"B, A-C",A,female?,ZFe,1.3,4.3,,,,,2,,,,,,,,Pl. 30,
Vetera,B0050,1098,1868.59326,-50.8252,1,dress,D,Copper alloy,,Brooches,"Riha 4.5, 'Distelfibel'","Arched bow with long groove, roand thistle disc with support; foot damaged; pin holder and pin missing.",33736,1st half 1st cent. AD,Augustan?,AugZ,Neronian,east gateway,female,Fe,,4.8 preserved,,,,,2.3,,,,,,,,Pl. 30,
Vetera,B0051,1,-346.46875,1666.15527,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa",Slanting profiled head plate with iron hinge pin; bow of flattish section; foot of pin holder badly damaged; pin missing.,18214,,Augustan-Claudian,Aug_Clau,,NW area,male,Ma,2.5,4.5,,,,,1.6,,,,,,,,Pl. 30,
Vetera,B0052,2,-347.96875,1835.67236,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa","Head plate with slanting profile; iron hinge pin with bronze hinge heads, corroded; bow with two long grooves, just discernible; foot with pin holder and pin missing.",18177,,Augustan-Claudian,Aug_Clau,,NW area,male,Ma,2.3,3.9 preserved,,,,,1.6,,,,,,,,Pl. 30,
Vetera,B0053,3,391.70972,2471.73462,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa",Wide head plate with bronze hinge pin; and foot with end knob; bow and pin missing.,18207,,Augustan-Claudian,Aug_Clau,,north gateway,male,Ma,,,,,,,2.1 preserved,,,,,,,,Pl. 31,
Vetera,B0054,37,-601.3916,2851.79932,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa",Foot with pin holder missing; pin broken.,19017,,Augustan-Claudian,Aug_Clau,,Fortline A-Neronian Fortifications,male,Ma,ca 2,c. 4.7 preserved,,,,,,,,,,,,,Pl. 31,
Vetera,B0055,50,-259.3562,2717.76001,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa","Bow with rounded section, badly corroded; foot with pin holder and pin missing.",19454,,Augustan-Claudian,Aug_Clau,,Neronian Fortifications,male,Ma,2,3.7 preserved,,,,,1.2 preserved,,,,,,,,Pl. 31,
Vetera,B0056,385,356.00024,175.94141,1,dress,D,Copper alloy,,Brooches,"Riha 5.2, Aucissa",Head plate damaged; bow with rounded section; pin holder damaged; pin missing.,23568,,Augustan-Claudian,Aug_Clau,,A,male,Ma,3,5 preserved,,,,,1 preserved,,,,,,,,Pl. 31,
Vetera,B0057,36,-1010.93262,2888.77686,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate damaged; bow with a raised central rib with 2 long grooves; foot with attached end knob; pin holder damaged.,19000,,Augustan-Claudian,Aug_Clau,,Fortline A,male,Ma,2.7,5.5,,,,,1.1 preserved,,,,,,,,Pl. 31,
Vetera,B0058,145,1906.54785,-66.10254,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Sharply bowed; head plate with three circular punched eyes and a 'pine-tree' pattern; bronze hinge pin; bow with raised decorated central ridge; foot with attached end knob; pin holder damaged; pin broken.,21092,,Augustan-Claudian,Aug_Clau,,east gateway,male,Ma,3,2.8,,,,,1.8,,,,,,,,Pl. 31,
Vetera,B0059,145,1906.54785,-66.10254,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Bent and corroded; head plate with slanting profile; bow with raised central rib; foot with pin holder badly damaged; pin missing.,21101,,Augustan-Claudian,Aug_Clau,,east gateway,male,Ma,,2.9,,,,,1.5,,,,,,,,Pl. 31,
Vetera,B0060,153,2925.50439,-667.14014,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Slanting profiled head plate; bow with raised and decorated central rib; foot with pin holder badly damagfed; pin missing.,21195,,Augustan-Claudian,Aug_Clau,,Fortline G,male,Ma,2.1,4.8 preserved,,,,,0.9,,,,,,,,Pl. 31,
Vetera,B0061,167,405.16357,-1554.86279,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Slanting profiled head plate with side indentations; bow with raised, decorated central rib; foot with pin holder and pin missing.",21177a,,Augustan-Claudian,Aug_Clau,,Fortline G,male,Ma,2.1,4 preserved,,,,,1.5,,,,,,,,Pl. 31,
Vetera,B0062,181,2088.15576,-1028.36133,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Damaged head plate with one perforated eye and remains of an embossed inscription '[AtR]IXtO'; remains of an iron hinge pin; bow with raised central rib; foot with pin holder and pin missing.,21149b,,Augustan-Claudian,Aug_Clau,,east gateway,male,Ma,2.5,4.3 preserved,,,,,1.7,,,,,,,,Pl. 31,
Vetera,B0063,250,1988.45508,-117.11963,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Bow with raised, decorated central rib; pin holder with attached end knob; head plate with front part of bow and pin missing.",21494a,,Augustan-Claudian,Aug_Clau,,B-P,male,Ma,3.3,4.7 preserved,,,,,,,,,,,,,Pl. 31,
Vetera,B0064,253,715.36572,514.27539,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Damaged head plate with circular, punched eye; bow with raised central rib; pin holder with attached end knob; pin missing.",21518c,,Augustan,Augustan,,A,male,Ma,2.7,4.9 preserved,,,,,1.1,,,,,,,,Pl. 31,
Vetera,B0065,266,562.66748,70.94141,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with side indentations; iron hinge pin and bronze pin head; bow with raised, decorated central rib; pin holder with attached end knob; pin end broken.",23126,,Augustan-Claudian,Aug_Clau,,A,male,Ma,2.7,5.1,,,,,1.9,,,,,,,,Pl. 32,
Vetera,B0066,306,613.00049,-11.72559,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with iron(?) hinge pin and bronze hinge heads; bow with raised central rib; pin and pin holder missing.,23324,,Augustan-Claudian,Aug_Clau,,B-G,male,Ma,2.5,4.4 preserved,,,,,1.9,,,,,,,,Pl. 32,
Vetera,B0067,308,538.28662,761.61182,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with side indentations; bronze hinge pin and hinge heads; bow with raised, decorated central rib; pin holder with attached end knob; pin missing.",22532a,1st decade AD,Augustan,Augustan,A-C,308,male,Ma,,5.6,,,,,1.7,,,,,,,,Pl. 32,
Vetera,B0068,310,448.00024,568.94189,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Wide head plate with perforated and slit circular eyes at the sides, in between are 'pine tree' patterns and three circular punched eyes;  bronze hinge pin; wide bow with raised and decorated central rib; foot with pin holder missing; pin end broken. ",23220,,Augustan-Claudian,Aug_Clau,,B,male,Ma,2,4.2 preserved,,,,,2.2,,,,,,,,Pl. 32,
Vetera,B0069,320,479.49951,667.81714,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with pin missing; complete but corroded bow with central rib; pin holder with attached end knob.,22716,,Augustan-Claudian,Aug_Clau,,G,male,Ma,2.5,c. 4.1,,,,,,,,,,,,,Pl. 32,
Vetera,B0070,325,594,609.02539,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate wit side indentations, bronze hinge pin, and 'pine-tree' pattern; bow with raised, decorated central rib; foot with attached end knob; pin  missing.",22554i,,Augustan,Augustan,A-C?,B-G,male,Ma,2.2,4.4,,,,,1.7 preserved,,,,,,,,Pl. 32,
Vetera,B0071,343,463.52686,863.10889,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with slanting profile and side indentations; iron(?) hinge pin with bronze hinge heads; bow with raised central rib; pin holder with attached end knob; pin missing.,23098,,pre-Claudian,pre_Clau,,G,male,Ma,2.3,5.2,,,,,2.2,,,,,,,,Pl. 32,
Vetera,B0072,382,346.00757,-12.08984,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with slanting profile, bands of wave decoration, and side indentations; iron hinge pin with one bronze hinge heads; bow with raised, decorated central rib; pin holder with attached end knob.",24016,,pre-Claudian?,pre_ClaZ,,central market area,male,Ma,3,5.5,,,,,1.8 preserved,,,,,,,,Pl. 32,
Vetera,B0073,403,237.66675,378.60864,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with slanting profile and side indentations; iron(?) hinge pin and one bronze hinge heads; bow with raised, decorated central rib; pin holder with attached end knob; pin broken.",24006,1st decade AD,Augustan,Augustan,,A,male,Ma,2.8,5.3,,,,,1.5 preserved,,,,,,,,Pl. 32,
Vetera,B0074,424,635.66748,463.94141,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with slanting profile, bands of wave decoration; iron hinge pin with one bronze hinge head preserved; bow with raised central rib decorated with a band of waves; pin holder with attached end knob; pin broken.",24231e,,Augustan-Claudian,Aug_Clau,A-C,B,male,Ma,2.2,5.5,,,,,2.2 preserved,,,,,,,,Pl. 32,
Vetera,B0075,478,136.96338,212.91187,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Wide head plate with side indentations, 'pine-tree' pattern and three circular, punched eyes; bow with raised, decorated central rib; pin holder with attached end knob;pin missing.",25230,,Augustan-Claudian,Aug_Clau,,"street, a-H",male,Ma,2.3,5,,,,,2,,,,,,,,Pl. 32,
Vetera,B0076,2000,-2239.581524,-1511.634302,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with slanting profile; bow with raised central rib; foot with end knob; pin holder damaged; pin broken. ,31106,,Augustan-Claudian,Aug_Clau,,2000,male,Ma,c. 2.5,c. 4.5,,,,,,,,,,,,,Pl. 32,
Vetera,B0077,750,717.3335,150.85864,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Fragment consisting of bow with raised central rib.,32809,,Augustan-Claudian,Aug_Clau,,P-F,male,Ma,, 3.9 preserved,,,,,,,,,,,,,,
Vetera,B0078,884,1010,205.94141,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with slanting profile; bow with raised central rib; foot with pin holder and pin missing. ,33518,,Augustan-Claudian,Aug_Clau,,P,male,Ma,2.5 preserved,3.3 preserved,,,,,1 preserved,,,,,,,,Pl. 33,
Vetera,B0079,954,1104.75,-130.72461,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate wtih slanting profile, iron hinge pin and one preserved bronze hinge head; inscription: 'AVCISSA' (after Oelmann) not well preserved; complete bow with raised central rib; damaged pin holder with attached end knob; remains of pin.",33114,,Augustan-Claudian,Aug_Clau,,F,male,Ma,2.9,5.6,,,,,1.5 preserved,,,,,,,,Pl. 33,
Vetera,B0080,977,731.5,-189.97461,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa","Head plate with slanting profile, side indentations and an embossed inscription  'AVCISS[A]'; iron hinge pin with bronze hinge heads; bow with raised central rib; foot with pin holder and pin missing. ",33086,,Augustan-Claudian,Aug_Clau,,F,male,Ma,2.1 preserved,3.9 preserved,,,,,1.8,,,,,,,,Pl. 33,
Vetera,B0081,1106,1601.25,-88.97461,1,dress,D,Copper alloy,,Brooches,"Riha 5.2.1, Aucissa",Head plate with slanting profile and iron hinge pin; bow with raised central rib; foot with attached end knob; pin and pin holder missing.,33715,,Augustan-Claudian,Aug_Clau,,T,male,Ma,2.7,5.1,,,,,1.4,,,,,,,,Pl. 33,
